Title,Date,URL,Content,Category,Sentiment,full_text,model_output,tag,sentiment
Lae candidates urged to use clean tactics,28/06/2025,https://tvwan.com.pg/news/5020,,,,"Candidates contesting the Lae Urban LLG are being urged to use clean campaign strategies.
Member for Lae and Deputy Prime Minister, John Rosso, made the call after being made aware of the use of misinformation and fear-based campaigning tactics by candidates.
Rosso said several individuals have been using his name, as well as contentious issues like evictions, to gain political mileage by misleading the public.
“I want to make it very clear that the Lae City Authority (LCA) is a legally sanctioned authority and is here to stay for as long as I am the Member for Lae,” Rosso stated.
He emphasised that LCA has played a pivotal role in transforming the city, with real development outcomes now visible across Lae, and attributed this to the proper and transparent use of public funds.
“From road upgrades to public spaces and services, the LCA has delivered, and the transformation of Lae speaks for itself,” said the Deputy Prime Minister.
Rosso also took the opportunity to address ongoing confusion and political manipulation surrounding several eviction cases in Lae.
“Bumbu Barracks was a court-ordered eviction initiated and won by the Police Department. It had nothing to do with my office or any political interference,” he clarified.
The DPM also explained that the area behind the National Polytechnic Institute of PNG is a designated flood zone, where no permanent structures should exist.
“There were also serious issues involving theft, property damage, and even attempted sexual assault on students by some individuals residing there. Public safety must come first,” Rosso said.
“For Kapiak Street eviction, the land in question belongs to PNG Ports, which obtained a court-ordered eviction through legal processes.
“Again, it is a legal process through court order by the legal title holder, PNG Ports.”
DPM Rosso also acknowledged the complex land ownership dispute currently unfolding over the former Department of Primary Industry land at Three-Mile.
He said the land has allegedly been illegally sold to individuals, and it is now being contested by DPI, the Livestock Development Corporation, and the Fresh Produce Development Agency.
“I am working to resolve this matter in a fair and lawful manner, but I urge people to be cautious of false land sales,” he warned.
Rosso urged all candidates to run clean, fact-based campaigns and stop using the struggles of people for political gain.
“Leadership is about truth, responsibility, and serving our communities; not manipulation, fear, or false promises.”
He ended his statement by calling on the people of Lae to stay focused on unity and progress.
“Let’s work together to continue building a better, safer, and cleaner Lae City.”","Politics, Fear",Politics,Fear
PM Marape in Fiji for MSG leaders' summit,22/06/2025,https://tvwan.com.pg/news/4951,,,,"Prime Minister James Marape is in Fiji attending the annual Melanesian Spearhead Group (MSG) Leaders’ Summit.
His presence at the meeting reaffirms Papua New Guinea’s continued leadership and commitment to Melanesian solidarity, diplomacy, and cooperation.
Chaired by Fiji, the summit brings together leaders from the MSG member countries, PNG, Fiji, Solomon Islands, Vanuatu, and the Kanak and Socialist National Liberation Front of New Caledonia.
Shared priorities on climate action, trade, regional security, and decolonisation efforts will be tabled when leaders discuss.
“Papua New Guinea is a founding and senior member of the Melanesian Spearhead Group and remains steadfast in advancing Melanesian cooperation,” Prime Minister Marape said ahead of departure. “This summit allows us to unite around our common challenges and aspirations, and speak with a stronger collective voice as a region.”
The MSG was established in 1986 to strengthen political, economic, and cultural ties among Melanesian nations. It has since become a key platform for collaboration on trade, sustainable development, regional diplomacy, and cultural identity.
Prime Minister Marape is scheduled to return to Port Moresby on Monday evening, 23 June 2025, following the conclusion of the meeting.
During his absence, Deputy Prime Minister John Rosso assumed responsibilities as Acting Prime Minister. Prime Minister Marape expressed his full confidence in the Deputy Prime Minister to lead government business during this short period.","Politics, Trust",Politics,Trust
Miringtoro joins OUR Pati,21/06/2025,https://tvwan.com.pg/news/4940,,,,"Newly elected Member for Central Bougainville, Jimmy Miringtoro has joined Rainbo Paita’s OUR Pati, bringing the total number of parliamentary members to 15.
Miringtoro arrived yesterday evening following his election and was met by Paita and other members of OUR Pati upon arrival.
Member elect for Central Bougainville, Jimmy Mirigtoro is no new comer to politics – he is returning after a two-term hiatus.
While Miringtoro contested as an independent, he pledged his allegiance to OUR Pati following his declaration and was demonstrated yesterday night when he was welcomed on arrival by members of OUR Pati including the Parliamentary Party leader, Rainbo Paita.
“We appreciate and we’re honored that you want to associate yourself with us, as a newly formed political party and that is a boost to our team as well - so honorable member elected, leader for Central Bougainville, mi tok tenkiu tru. Yu kam na givim strong long mipla olgeta yangpla, na senior lida stap insait long OUR Pati,” said the party leader, Rainbo Paita.
Miringtoro was former member for Central Bougiainville for two terms, spanning 2007 to 2012 and 2012  to 2017, losing to late Fr Simon Dumarinu and attributed his re-election to the legacy he created in his previous two terms as Member for Central Bougainville.
“Mi gat confidence long ol pipol blong mi long ol wok mi wokim last 10 years taim mi stap, mi coverim Sentral Bougainville from end to end. That is why mi ting olsem ol pipol bai supportim mi,” Miringtoro
He also revealed his reason for joining OUR Pati.
“Tankiu long pati lida, husait em I stap wantaim mi. At the 11th hour, I was about to fly to Bougainville, na  em I givim han blong em long mi na em I sapotim mi.”
“Joining OUR Pati is a very important decision that I made. There were big parties that are around, na mi laik tok olsem planti ol displa pati, ol ino mekim planti senis tumas, na mi save olsem wantaim lidadsip blong Rainbo, mi bilip olsem bai gat sampla senis long gavman long ol yias I kam. That is why I teamed up with the party leader and the party itself,” stated Miringtoro.
Mirigtoro’s inclusion in OUR Pati brings the total number of Bougainville members in this party to two. Member for North Bougainville, Francesa Semoso is also a member of this party.
Rainbo Paita’s OUR Pati was formed mid last year just after he led a team of government MPs to the opposition in a bid to overthrow the Marape government.
Despite being a very new party, it now has 15 members of parliament.","Politics, Anticipation",Politics,Anticipation
Parliament resumes May 27,26/05/2025,https://tvwan.com.pg/news/4603,,,,"Parliament will resume sitting on Tuesday, May 27, at 2pm.
Among the bills expected to be discussed is the Vagrancy Act bill, which seeks to empower courts to issue exclusion orders for individuals convicted of crimes in urban areas.
This measure allows police and local authorities to manage vagrancy and related offences more effectively by repatriating offenders to their home villages.
Other bills likely on the agenda include constitutional amendments, laws related to provincial governance, mining, land rights, and ongoing legislative programmes carried over from previous sessions.","Politics, Anticipation",Politics,Anticipation
Kandep presents an acquittal,19/05/2025,https://tvwan.com.pg/news/4499,,,,"The Kandep District Development Authority (DDA), led by Chairman and Member for Kandep Don Polye, presented its acquittals to the Department of Implementation and Rural Development (DIRD) today.
The acquittals are from 2021 to 2024, District Services Improvement Program (DSIP).
This presentation is part of the compliance with government requirements for transparency and accountability in the use of public funds allocated under the DSIP.
However, Kandep is one of the districts noted for delays in submitting acquittals in the past, as many districts have struggled to meet the deadlines set by the Ombudsman Commission and DIRD.
The acquittals are essential for verifying the use of public funds and ensuring that projects benefit the community.
The DIRD and Ombudsman Commission have emphasized the importance of timely acquittal submissions to avoid breaches of leadership codes and potential misconduct charges.","Government, Trust",Government,Trust
WNB LLG Election Nominations Continue,27/04/2025,https://tvwan.com.pg/news/4166,,,,"Eighty-six candidates so far have been nominated to contest the 2024 Local Level Government (LLG) Elections in West New Britain (WNB). Nominations are being conducted at Vogae Memorial Park in Kimbe Town.
Nomination began on Friday, April 25 proceeded smoothly into Saturday, and will continue on Monday, April 28th.
Candidates from across the province are making their moves to secure seats, with some arriving in large groups accompanied by supporters in truckloads, while others quietly submitted their nominations with just a few witnesses.
In Talasea, 20 candidates have been nominated so far. Among them, four are vying for the Mayor’s seat, one for a ward councillor position, three for the President's seat, and 11 for various ward councillor roles. Talasea Rural has recorded one nomination for a ward councillor seat.
In Nakanai, 25 candidates have been nominated, with 13 competing for the president's seat and 12 for ward councillor positions.
Meanwhile, Kandrian-Gloucester District has seen the largest number of nominations, with 41 candidates so far—23 for LLG President positions and 18 for ward councillor seats.
WNB is made up of 119 wards, and the election is expected to be a highly contested race. Among the 86 candidates is a female nominee for the Gasmata LLG president seat, marking a milestone in this election.
The nomination process will continue on Monday, 28th April, with further updates expected as more candidates step forward.","Politics, Anticipation",Politics,Anticipation
LLG election writs issued,24/04/2025,https://tvwan.com.pg/news/4131,,,,"The writs for the 2025 Local Level Government elections were issued this afternoon (Thursday, April 24) at the Morauta Haus, signifying the start of the LLG elections.
The signing and issuing of the writs by the Minister for Provincial and Local level Government, Soroi Eoe, and the Electoral Commissioner, Simon Sinai, will also include the Motu Koita Assembly elections. These respective elections will run concurrently.
“This occasion commences the election process for our citizens to exercise their democratic rights to contest in the election, and to elect the members of the local level government assembly. I have issued writs for 374 LLGs and 6916 wards, including the Motu Koita Assembly seats.""
Minister Eoe emphasized that the seven Highlands provinces, including Morobe Province, will elect their council wards. Soon after, the ward councilors then elect the LLG presidents.
Eoe said the rest of the 12 provinces will have direct elections for the heads of LLGs, where people will elect both the ward councilors and LLG heads.
Sinai shared that it was a first of its kind, running three individual elections, despite the challenges.","Politics, Anticipation",Politics,Anticipation
Akem calls for alcohol ban in Enga,23/04/2025,https://tvwan.com.pg/news/4114,,,,"Lagaip MP Aimos Joseph Akem has made an urgent appeal to the Enga Provincial Government to put a complete ban on alcohol in Enga during the LLG elections in Lagaip and the by-election in Porgera-Paiela district.
Akem who is also the Chairman of the Permanent Parliamentary Committee on Law and Order has indicated that both Police and the PNG Defense Force in Enga should arrest those people who are in possession of all forms of alcohol during this ban.
“This is to maintain peace in such election period. We know for sure that eighty per cent of law-and-order issues including tribal fights in Enga province are caused by beer and homebrew,” he said.
“Most Engans in Enga do not drink responsibly.
“Now Enga (has worsened) in law and order and alcohol is the main contributor,” he added.
The MP said the security forces should set up check points on the border of Western Highlands, Hela and Southern Highlands provinces and tighten up patrols.
“Let's work together to make Enga safe again for a fair and free LLG election and the Porgera-Paiela by-election,” MP Akem concluded.","Politics, Fear",Politics,Fear
Marape assures stability in the country,15/04/2025,https://tvwan.com.pg/news/3984,,,,"Prime Minister James Marape has assured the country of stability until the 2027 national elections.
After surviving another challenge from the Opposition to remove him as Prime Minister, Marape said the Government aims to foster confidence among citizens, investors, and international partners going forward.
“Parliament has spoken through the MPs’ votes who wanted me to continue as the Prime Minister. I am pleased to lead this great diverse nation.
“If you’re not happy with our government please by all means, change us in the next general election in 2027.”
“A stable political environment is crucial for attracting both local and foreign investments.”
Parliament has been adjourned to May 27 at 2pm.","Politics, Trust",Politics,Trust
Prime Minister James Marape retains seat,15/04/2025,https://tvwan.com.pg/news/3982,,,,"Eighty nine Members of Parliament have voted against the motion of the vote of no confidence against Prime Minister James Marape while only 16 voted in favor of the motion.
The decision of the Members of Parliament to vote against the motion of no confidence in Prime Minister signifies that Marape will continue to hold his position as the leader of the government.
This outcome can have various implications for governance and political stability in Papua New Guinea.
Continuing in office may allow Marape to proceed with his policy agenda and initiatives, while also potentially strengthening his support within the ruling coalition.
It can also imply a degree of political stability, at least in the short term, which can be beneficial for both domestic and international confidence in the government.
On the other hand, opposition parties may regroup and strategize for future challenges, and public sentiment will likely play a key role in shaping the political landscape moving forward.","Politics, Trust",Politics,Trust
Sir Puka Temu call on PM to resign,15/04/2025,https://tvwan.com.pg/news/3981,,,,"The Mover of the motion of the Vote of no confidence against Prime Minister James, Sir Puka Temu has debated on the floor of Parliament this morning and call for Marape to step down.
“I rise today not with joy, but with a heavy heart. Heavy from the weight of broken promises, from the cries of a grieving nation, and from the silence that has gripped this Parliament for far too long.
“When Prime Minister James Marape took office in 2019, we watched with hope as he declared the vision to “Take Back PNG” – a powerful phrase that stirred the soul of this nation. A million hopes were pinned to that phrase. He told us we would become the “richest black Christian nation on earth.”
“ We believed him. We believed because we wanted to believe—that at long last, a leader had come to bring dignity, opportunity, and justice to our people.”
However, he said that belief lies shattered.
Sir Puka further stated that this was not a vote of ambition as it is a vote of accountability and a vote of conscience.
“Mr. Speaker, what is the role of government if not to uplift its people?
“What do we say to the father in East Sepik who cannot afford a bag of rice because inflation has eaten away his wage?
“What do we say to the mother in Tari who cannot find medicine for her child because hospitals are collapsing under neglect?
“What do we say to the student in Lae who dares to speak out against corruption, only to be branded a terrorist under a law designed to silence truth?”
Sir Puka claimed that under this Prime Minister, the country have seen betrayal after betrayal including:
-	He promised jobs: Yet youth unemployment remains one of our greatest ticking time bombs.
-	He promised food security: Yet we import over K2 billion worth of rice each year, while our land—some of the most fertile in the world—lies idle.
-	He promised justice: Yet corruption has become institutionalised. ICAC remains toothless, and major scandals—remain unresolved.
-	He promised safety: Yet our women are raped, our children murdered, and our towns turned into battlegrounds. And still, the Government shields itself behind amended laws and calls the people’s pain “fake news.”
“Mr. Speaker, this Prime Minister did not just fail. He changed the rules to protect himself from the consequences of failure.”
Meantime, Parliament is still in progress.","Politics, Anger",Politics,Anger
Parliament resumes to deliberate and vote on VoNC,15/04/2025,https://tvwan.com.pg/news/3980,,,,"Parliament resumes today at 10am to deliberate and vote on the motion of the vote of no confidence against Prime Minister James Marape.
Currently the Government has 91 MPs while the Opposition has 19.
Prime Minister James Marape is confident to retain his seat with the support from the coalition parties like William Duma’s United Resource Party and Powes Parkop’s Social Democratic Party, who have pledged their allegiance to the Pangu-led coalition.
However, anything can happen on the floor of Parliament at the 11th hour. Last week, the Prime Minister nominee and Enga Governor, Sir Peter Ipatas said they were in constant communication with members of the government.
Opposition will require 56 votes to move the motion and whether this number can be mustered on the floor or not is something the nation will look out for when parliament commences today.
If the motion is successfully moved, the speaker will call for the election of a new Prime Minister and that’s when the numbers will be tested. However, if the Prime Minister chooses to resign before a vote is taken, this can also lead the election of a new Prime Minister.
Meantime, members of the opposition continue to make calls for colleague MPs on the other side to make decisions based on their conscience and not political affiliations and to put the country first.","Politics, Anticipation",Politics,Anticipation
Marape calls for calm and respect ahead of VoNC,14/04/2025,https://tvwan.com.pg/news/3971,,,,"Prime Minister James Marape has called on the people of Papua New Guinea to remain calm, respectful, and united as the country prepares for the vote of no confidence motion on Tuesday, 15 April 2025.
The Prime Minister said the vote is a constitutional process under Section 145 of the National Constitution and reflects the strength and maturity of Papua New Guinea’s democracy.
“On Tuesday, either I or the Sir Peter Ipatas will be Prime Minister,” he said. “This is the democratic process at work. I appeal to all citizens to allow our Constitution to guide us through this moment with calmness, dignity, and respect.”
Prime Minister Marape, who has led the country since May 2019, acknowledged that the vote comes at a significant time, as the nation prepares to mark its 50th anniversary of Independence in September.
“As we approach our Golden Jubilee, I urge our people to remain united and tolerant of one another’s views and political choices. Papua New Guinea is the most diverse nation on earth, and national leadership must reflect empathy, understanding, and unity.”
The Prime Minister affirmed that, whatever the outcome of Tuesday’s vote, he would honour the decision of Parliament.
“If the majority of Members of Parliament decide to elect Sir Peter Ipatas as Prime Minister, I will fully respect and support that decision. But if they express continued confidence in me, I will be humbled to carry on and complete the work we have started together.”
He encouraged all aspiring leaders and political parties to prepare for 2027 by winning the trust of the people through the ballot box.
“To my political opponents, I say, 2027 is not far away. Organise your parties, endorse credible candidates, and contest the elections. If you win the mandate of the people, you will have the right to govern.”
He concluded by assuring the country that ongoing work in infrastructure, education, health, SME support, and major resource development would continue, should his government retain office.","Politics, Trust",Politics,Trust
Parliament resumes April 8,07/04/2025,https://tvwan.com.pg/news/3895,,,,"The Supreme Court has officially recalled Parliament to reconvene on Tuesday, April 8, 2025, to deliberate on a vote of no-confidence motion submitted by the Opposition on November 27, 2024.
This decision comes amid rising political tensions and scrutiny over Prime Minister James Marape's administration.
The vote of no confidence is a critical mechanism in Papua New Guinea’s parliamentary system, allowing elected representatives to express their lack of confidence in the sitting Prime Minister.
The Opposition, which has been vocal about its criticisms of the Government’s policies and handling of various issues, is expected to present its arguments vigorously during the session.
As Parliament prepares for this important deliberation, all eyes will be on the Members of Parliament as they gather to discuss the motion.
Prime Minister Marape has reaffirmed his readiness to address the concerns raised by the Opposition and has called for an open dialogue during the proceedings.
The outcome of this vote will be significant for the future of the Government and the political stability of Papua New Guinea.
It remains to be seen how various factions within Parliament will align as they prepare for this critical decision.","Politics, Anticipation",Politics,Anticipation
Sir Puka Calls For Speaker To Resign,01/04/2025,https://tvwan.com.pg/news/3828,,,,"Member for Abau, Sir Puka Temu has called on Speaker Job Pomat, Deputy Speaker Koni Iguan and the five members of the Private Business Committee (PBC) to resign in light of the Supreme Court ruling declaring their collective actions unconstitutional.
The PBC members include: Provincial Member for Hela Phillip Undialu (Chairman), Southern Highlands Provincial Member, William Powi (Deputy), Provincial Member for Manus, Charlie Benjamin, Provincial Member for Gulf, Sir Chris Haiveta, and Provincial Member for Western, Toboi Yoto.
Sir Puka said that before the ruling, the Private Business Committee acted with an inflated sense of authority, which gave them the misleading view that they could overly scrutinise, dissect, and examine motions of no confidence.
“The Supreme Court ruling now confirms that the committee must not act outside its jurisdiction of being custodians of the principle of ‘collective responsibility of the Executive to the People’ and ensuring this motion of importance reaches the floor for Parliament to decide.
“Complicating or frustrating the process of moving a motion of no confidence in the Prime Minister frustrates the rights of the people. The judgment has made it clear that section 165 of the standing order is unconstitutional and that the committee should not be nit-picking motions of no confidence based on its perceived defects.
“This also confirms that the actions of the committee last year to deny three motions of no confidence naming Governor Allan Bird as the alternative prime minister was wrong, unconstitutional, and a ploy to protect the Prime Minister.”
Sir Puka recommended that the PBC membership be overhauled to only include the Speaker as Chair, two members from Government, and two members from the Opposition.
“They must meet any day and not just on Wednesdays during Parliament sitting days. Other functions for Private Member Bills be referred to other relevant Parliamentary committees on Bills,” he said.
“Finally, I ask the Speaker, his deputy and the members of the committee to do the most honourable thing and resign from their positions.
“It is not personal or political, but simply because the highest court of our land has found serious breaches or their collective conduct by failing to uphold the constitution.
“Upholding and safeguarding the constitution is the highest duty we Members of Parliament have, and disrespecting this duty must be dealt with extreme accountability and remorse.”","Politics, Anger",Politics,Anger
Court orders Speaker to recall Parliament,31/03/2025,https://tvwan.com.pg/news/3810,,,,"The Supreme Court has ordered the Speaker of the National Parliament to recall Parliament to meet on April 8, 2025 and to facilitate debate on the motion of no confidence of November 27, 2024.
The five-men bench consisting of Chief Justice Sir Gibbs Salika, Justice Cannings, Justice Hartshorn, Justice Kariko and Justice Dingake declared that the Private Business Committee's decision of November 27, 2024 to reject a motion of no confidence in the Prime Minister was unconstitutional and was in breach of s111 (right to introduce bills etc) of the Constitution.
The court ruled that the Parliament's resolution of September 12, 2024 to reject a motion of no confidence in the Prime Minister did not perforce of ss 50(1)(e), 111(1 142(5) and 145 of the Constitution, restricting the right of members of the Parliament to submit another motion of no confidence in the same Prime Minister.
On November 27, 2024, the National parliament disallowed a motion of no confidence against the Prime Minister on the ground that it was brought within 12 months after a motion of no confidence in the same Prime Minister was defeated on 12 September 2024.
The applicant then filed an application in the Supreme Court under s 18(1) of the constitution, seeking a declaration that S165 of the Standing Orders in, so far as it is invoked in relation to a motion of no confidence against the Prime Minister, and that the decision to rely on it to disallow the motion of no confidence against the Prime Minister of 27 November 2024 was unconstitutional. The applicant also sought orders for the parliament to be recalled within seven days to debate the motion of no confidence of November 27, 2024.
The court among other orders today ordered the speaker to recall parliament and for the private business committee to deliver the motion of no confidence of 27 November 2024 to the clerk who shall list it on the notice paper forthwith.
It was declared that the decision of the Private Business Committee to not place the motion of no confidence on the notice paper was contrary to the principle of collective responsibility of the executive arm of government to the Parliament under s 141 of the Constitution.
The Court also declared that s 165 of the Standing Orders, to the extent that it applies to a motion of no confidence, is unconstitutional for being inconsistent with ss 50(1)(e), 111(1), 142(5) and 145 of the Constitution.","Politics, Anticipation",Politics,Anticipation
Deputy opposition leader’s application rejected,05/03/2025,https://tvwan.com.pg/news/3458,,,,"The Supreme Court today refused an application for an interim injunction on the proposed amendment to section 145 of the Constitution filed by Deputy Leader of Opposition James Nomane.
Nomane filed the application under Section 18(1) of the Constitution seeking to restrain the Parliament from dealing with a proposed constitutional amendment regarding motions of no confidence in the Prime Minister.
The application was based on Order 3 rule 2(a) of the Supreme Court Rules, which allows for interim orders to prevent prejudice to the claims of the parties.
The Supreme Court ruled that it lacks clear jurisdiction to grant the interim order as it would violate the right to freedom of speech, debate, and proceedings in Parliament guaranteed by Section 115(2) of the Constitution.
The Court also found that the applicant failed to demonstrate that the interim order was necessary to prevent prejudice to his claims.  The substantive application could still proceed and succeed even if the constitutional amendment was made.
The application for an interim order was refused and the applicant was ordered to pay the interveners' costs.
Nomane in a press conference today said the proposed amendment was the protective veil that the Prime Minister James Marape was trying to enact to insulate him until the 2027 National General Elections.
“The court refused my application on the grounds that they lacked jurisdiction, as the Supreme Court could not interfere with Parliamentary proceedings and in so doing enforced the separation of powers pursuant to section 99 of the Constitution.
“In protecting the rights of Members of Parliament to have freedom of speech, debate, and engage in Parliamentary proceedings consistent with section 115(2) of the Constitution, the interim injunction was refused.
“However, on paragraph 3 of page 6 of the decision, the decision further states that the proposed amendment would have nil effect on the vote of no confidence since “the proposed constitutional amendment would operate prospectively, not retrospectively.”
“That means a motion of no confidence in the Prime Minister can be moved at any time, after which, the proposed amendment will kick in. In short, it does not start from 12 September 2024 when the VONC failed with Renbo Paita as the alternative prime minister nominee. “
Furthermore, Nomane clarified that the Supreme Court ruled that the challenge could be made pursuant to a special reference under section 19 of the Constitution.
“The good news is that section 19 reference is already on foot and the proposed section 145 amendment to the constitution will be rendered sub judice and now allowed to be debated, deliberated, or discussed in Parliament.
“In short, the opportunity for a vote of no confidence in the Prime Minister is available anytime Parliament convenes and will occur swiftly if the Supreme Court rules favorably on the substantive section 18 Application set for trial on Friday March 14, 2025.
“Therefore, the vote of no confidence is being vigorously defended in the Courts to ensure that the executive government is held accountable by Members of Parliament.”","Politics, Anticipation",Politics,Anticipation
Maladina meets with Indonesian leaders,27/02/2025,https://tvwan.com.pg/news/3347,,,,"To formalize the growing partnership between the two nations, PNG and Indonesia have agreed to work towards a structured understanding that will facilitate deeper cooperation in resource development, infrastructure, and capacity building.
This comes after close discussions between the Minister for Petroleum, Jimmy Maladina and Indonesia’s Vice Minister for Energy and Mineral Resources, Yuliot Tanjung, the Chairman of SKK Migas, Djoko Siswanto, and the Director General of Oil and Gas, Dr Lng. Tri Winarno, to advance cooperation in the petroleum sector.
Discussions focused on regulatory models, infrastructure ownership, and investment security to ensure PNG’s petroleum sector remains competitive and beneficial to the nation.
Both Minister Maladina and Vice Minister Tanjung emphasized the importance of strengthening bilateral collaboration, not only at the government level but also through greater people-to-people interaction, knowledge sharing, and industry partnerships.
""Indonesia has developed a robust petroleum sector, and there is much we can learn from their experience. This engagement is a step forward in ensuring PNG adopts best practices while also creating opportunities for strategic partnerships in our energy sector,"" said Minister Maladina.
Both ministers have agreed to look at opening collaboration in looking at Petroleum exploration works around the offshore and onshore blocks on the borders of both countries.
The meeting marks a significant milestone in PNG’s ongoing efforts to refine its petroleum sector policies and frameworks. Strengthened cooperation with Indonesia will play a key role in shaping PNG’s long-term energy strategy while fostering regional economic ties.","Business, Trust",Business,Trust
PNG-Australia relationship strengthened,24/02/2025,https://tvwan.com.pg/news/3312,,,,"Prime Minister James Marape has reaffirmed the strong and enduring relationship between Papua New Guinea and Australia during a series of successful meetings in Sydney recently.
Last Friday, Marape paid a courtesy visit to the Australian Governor-General, Ms Sam Mostyn AC, where they engaged in discussions on the deep historical ties and shared future of both nations.
“I affirmed that our relationship with Australia is a valued and foundational one, dating back to Papua New Guinea’s sovereignty in 1975. Since then, Australia has stood with us every step of the way, contributing significantly to our progress over the past 49 years as we approach our 50th anniversary of independence,” Prime Minister Marape stated.
Marape acknowledged that Australia’s ties with Papua New Guinea extend far beyond 1975, with strong historical, economic, and security cooperation dating back to the colonial era.
He emphasised that Australia has been a key partner in PNG’s development long before independence and remains committed to its progress today.
During the meeting, the Prime Minister also highlighted ongoing bilateral cooperation and discussed ways to strengthen PNG-Australia relations across key areas, including trade, investment, governance, and security.
A key highlight of the discussion was Prime Minister Marape’s invitation to the Governor-General to attend a special 50th-anniversary event in Papua New Guinea dedicated to honouring women and girls.
This landmark event, scheduled within PNG’s 50th-anniversary celebrations (September 16, 2025 – September 15, 2026), will call upon all men and boys in the country to formally recognize and celebrate the contributions of women in Papua New Guinea.
“The Governor-General is a strong advocate for women’s rights, with a distinguished background as a businesswoman and community leader, and she has graciously accepted our invitation. She commended PNG on its progress and reiterated Australia’s continued commitment to supporting our development and aspirations,” Prime Minister Marape added.
The discussions also reinforced Australia’s long-standing support for PNG’s development, spanning infrastructure, education, healthcare, and economic growth.
Marape acknowledged the critical role Australia has played—not just during his tenure as Prime Minister, but over the past five decades—in shaping PNG’s growth and transformation.
Furthermore, the Prime Minister highlighted PNG’s commitment to fostering a favourable environment for Australian investors, ensuring that trade and commerce between the two nations continue to expand and flourish.
“Australia remains PNG’s largest trading partner, and our people-to-people ties continue to grow. Our government-to-government relationships, institutional partnerships, and economic cooperation have never been stronger,” he said.
A notable milestone in this deepening partnership is the NRL’s official acceptance of Papua New Guinea as the 18th team in the National Rugby League from 2028.
The Prime Minister described this as a powerful symbol of the strength of PNG-Australia relations at every level—from government and business to sports and culture.
“This is yet another step forward in our long-standing relationship, a sign of our growing integration and mutual progress,” he said.
Marape will continue his engagements to the Solomon Islands for bilateral discussions and a major fisheries conference.","Politics, Trust",Politics,Trust
