Title,URL,Date,Content,Category,Sentiment,People,Source
Police inability to tackle crime forcing people to fend for themselves: Ipatas,https://www.thenational.com.pg/police-inability-to-tackle-crime-forcing-people-to-fend-for-themselves-ipatas/,11/11/2025,"THE inability of police to address lawlessness in the country has forced the people to take matters into their hands, says Enga Governor Sir Peter Ipatas. He said that the recent unrest at the University of Goroka was an example of the breakdown of law and order, leaving people to fend for themselves in times of trouble. “Police are meant to be the enforcers of law and order but right now there is not much they can do,” he said. “The Constitution gives the police force the powers to conduct investigations, make arrests and prosecute, but there is a serious lack of capacity in all these areas. “The Government must immediately step up its efforts to fix the police force before things get worse.” He added that the upkeep and functions of the police force was the responsibility of the Government which should fund it and provide adequate resources for officers. “We see policemen walking around without any bulletproof vests. Some criminals carry more high-powered weapons than the police which makes their job even more dangerous. “The Government has a responsibly to protect and support our police force because they are the ones who should maintain law and order. “You can talk about improving the economy or making social changes, but if there is not law and order in place, then nothing will be achieved.” Meanwhile, Sir Peter advised Engan students at the university to remain calm and wait for the provincial government to repatriate them upon the advice of the university’s academic senate. “Leaders must not evacuate students without authorisation from the university. This can cause problems for the administration and the students in the future. “The issue has escalated beyond control, and any attempts to evacuate students could affect their education in the future.”",Politics,Anger,"Peter Ipatas, Sir Peter Ipatas",The National
Hahembe wins Miss East Sepik,https://www.thenational.com.pg/hahembe-wins-miss-east-sepik/,11/11/2025,"MISS Wosera-Gawi, Vilousa Hahembe, was crowned Miss Bird of Paradise -East Sepik on Saturday night in Wewak, East Sepik. “I will wear this crown with grace and humility, upholding the values, traditions and strength of our Sepik way of life,” Hahembe said. Hahembe was among five other contestants who entered the pageant to represent each of the district in East Sepik. She graduated from the University of Papua New Guinea with Bachelor in Economics from the School of Business and Public Policy and currently has a role as the country representative of PNG to the Commonwealth Students’ Association. “I strongly advocate and work in youth spaces focusing on education and youth empowerment,” she said. “As part of my journey, I am committed to creating education accessible to children and youths. “I believe education is the key to finding one’s purpose. “Education not only in the sense of going to school but also cultivating one’s talents to empower them to discover their purpose,” she Hahembe said. “I wish to extend my sincere gratitude to Miss Manui, East Sepik pageant committee for their dedication, vision and tireless commitment to empowering young women leaders of East Sepik. “Your work is not only transforming lives but also shaping the future of our province and our nation. She thanked her family from Wosera-Gawi and Yangoru-Saussia for their support, belief in her and their love. She now moves on to prepare to represent East Sepik at the Miss PNG National Pageant.",Culture,Joy,Nill,The National
Hau’ofa is PNG’s first UN ambassador,https://www.thenational.com.pg/hauofa-is-pngs-first-un-ambassador/,11/11/2025,"AMBASSADOR Michelle Hau’ofa says Papua New Guinea remains committed to the principles and purposes of the United Nations to multilateral cooperation, peace and security. She said this while presenting her letter of credentials recently to Tatiana Valovaya, Director-General of the United Nations (UN) in Geneva at the United Nations Office. According to Foreign Affairs Department secretary Elias Wohengu, the ceremony signifies the appointment and recognition of Papua New Guinea’s first ambassador to the United Nations in Geneva, following the establishment of its first permanent mission in Geneva in April. Wohengu said Hau’ofa was appointed by the National Executive Council to head the country’s mission in Geneva. During the event, Hau’ofa said: “I represent my country with a deep sense of responsibility in this distinguished multilateral environment, and sincerely appreciate the global work of the UN, especially in PNG in areas including health, education, environment and climate action, human rights, trade, investment and sustainable development.” She further said the Government fully recognised the importance of opening a mission and having a diplomatic presence in this strategic location. Hau’ofa is supported by John Emilio, deputy permanent representative and Issac Givolo, first secretary to PNG’s permanent mission in Geneva.",Politics,Trust,Nill,The National
Sir Peter points out change in attitude,https://www.thenational.com.pg/sir-peter-points-out-change-in-attitude/,11/11/2025,"LOCAL level government (LLG) leaders should be servants of the people they represent and not do the job only for the money, Enga Governor Sir Peter Ipatas says. Sir Peter, who made his way up the ranks from a council president after 18 years, said it was a worrying to see the trend of candidates contesting the LLG elections because of money. “In our time, we served the people as volunteers who were paid small allowances,” he said. “We mainly took the job as a form of service to our community. “Most of us were paid only K6 per quarter. But now we can see that everyone wants to become a councillor because they will be on payroll after they are elected. “This is not the right thing to be doing, especially for leaders at the sub-national level who are meant to live with the people and solve issues on the ground.” Sir Peter said this year’s LLG elections were a cause for concern, especially seeing the behaviour of candidates having changed compared with how things were in the past. “There is no point in holding big campaign rallies when the people who you are trying to serve live with you,” he said. “This shows that the systems meant to govern are failing us.” Provincial and Local Level Government Affairs Minister Soroi Eoe had announced earlier this year that elected leaders would be paid fortnightly. He said this was part of the government’s efforts to improve the country’s third tier of government by empowering LLG leaders. “The government has made some significant and important improvements in the LLGs since 1995 such as putting ward councillors and (LLG) presidents in the governments’ payroll system to receive fortnight salaries of K300. Writs are expected to be returned next Friday (Nov 21).",Politics,Disgust,"Peter Ipatas, Sir Peter Ipatas, Soroi Eoe",The National
Marape: Our forest is our contribution to humanity,https://www.thenational.com.pg/marape-our-forest-is-our-contribution-to-humanity/,11/11/2025,"PAPUA New Guinea offers 35 million hectares of rainforest as its contribution to fighting climate change as Prime Minister James Marape call on world leaders to honour their commitments. “Act now and act responsibly to save the planet,” Marape told a COP30 World Leaders Climate Summit in Belem, Brazil yesterday. Marape urged nations to honour their commitments under the Paris Agreement and embrace nature-based solutions as the foundation for global climate action. He said for PNG climate adaptation and mitigation was not a choice but a matter of survival. “Forests and oceans offer nature-based solutions and technologies to replenish Mother Earth,” he said. “PNG safeguards 35 million hectares of pristine rainforest – the lungs of the earth – and we offer this as our contribution and legacy to humanity. “This shows that even a small forest nation like PNG can drive global impact. “Our intention is to ratify the protection of 30 per cent of our ocean area from illegal and commercial exploitation. “With seven per cent of the world’s biodiversity in our land and waters, the sustainable use of our oceans and forests is vital to saving this planet.” Marape acknowledged global partners including the United Nations, the Green Climate Fund, France, Australia, the Coalition for Rainforest Nations and the World Agroforestry Centre (ICRAF) for supporting PNG’s conservation efforts. “Without saving our forests, trees and oceans, the climate change conversation is redundant,” Marape said. “Technology is important, but without nature-based solutions, it cannot succeed. “You can look at 46 billion light years into the universe, and you will not find another planet like ours. “This planet is worth fighting for. Let us pass on a liveable earth to our children as our ancestors did for us,” he said. Marape pledged PNG’s support for Australia’s bid to co-host COP31, which he said, would “bridge the conversation between forestry and ocean nations, uniting both fronts to keep our earth in balance.”",Environment,Anticipation,James Marape,The National
"Funding support needed for forest nations, PM says",https://www.thenational.com.pg/funding-support-needed-for-forest-nations-pm-says/,11/11/2025,"A STRONGER global financing mechanism should be in place to support forest and ocean nations, Prime Minister James Marape said during the COP30 Climate Summit in Belem, Brazil. He stressed that tropical countries like PNG, Brazil and Congo were “carrying the weight of the planet’s survival” in their fight to preserve the world’s last great carbon sinks. “Forests and ocean nations are carrying the burden of the entire planet’s atmospheric balance,” he said. “The Amazon Basin, the Congo Basin, and the tropical forests of PNG and Southeast Asia together form the lungs of the earth. “Conserving them is the greatest mitigation effort we can make to save humanity itself. “When I first began this journey, I thought I was fighting to save our forests. “Now I realise I am fighting to save humanity. “Our forests, oceans and biodiversity sustain all life on earth – and without them, we have no future.” Marape told the participants at a thematic session yesterday that there was no substitute for the earth’s natural systems, urging them not to look to other planets for survival but to preserve the one they already inhabit. “There is no planet like earth,” he said. “Mars and Mercury are unliveable. Here, rivers, trees, mountains and oceans sustain life. “That is worth fighting for. “Our forests deserve proper conservation financing. “Nature-based technologies must begin by valuing standing forests – not just harvested timber. “One hectare of conserved forest can save the world far more than any industrial offset.” He urged the international community to deliver a new era of equitable climate finance. Meanwhile, Marape said PNG committed to halting large-scale deforestation, restoring degraded land and supporting sustainable development for local communities. He also highlighted PNG’s readiness to work with global partners to advance forest-nation diplomacy and operationalise long-term climate financing solutions. “For six years as prime minister, I have been saying: stop deforestation,” he said. “If this generation of leaders fail to find real financing solutions for forest nations, history will judge us harshly.”",Environment,Anticipation,James Marape,The National
Hope at last for displaced islanders,https://www.thenational.com.pg/hope-at-last-for-displaced-islanders/,11/11/2025,"HUNDREDS of Kadovar islanders living at a care center in East Sepik since 2018 will soon been permanently resettled at Kaup. This is according to the Department of Provincial and Local-level Government Affairs (DPLGA) staff who are in the province with a team from the Department of Lands and Physical Planning, the provincial and Wewak administration. It is understood that the government delegation was identifying and negotiating with the proposed Kaup landowners to acquire 97.6 hectares of land for permanent resettlement. The volcano on Kadovar, which is part of the Schouten Islands Group, erupted on Jan 5, 2018, which forced the islanders to the Wewak mainland. The displaced population was relocated to the Dandan Care Centre, which occupies a 3.5-hectare low-lying coastal area bordered by steep hills on one side and the sea on the other. According to the DPLGA, the acquisition of the land at Kaup would provide a long-term and secure settlement site for the islanders. The department in a statement said: “Consultations and land acquisition processes are currently progressing, with permanent relocation expected by mid-next year. “Since the displacement, the Internally Displaced Persons at Dandan Care Centre have relied heavily on food assistance. “The DPLGA has been providing food rations since 2019, while also leading efforts toward a sustainable and permanent resettlement programme. “The centre remains highly prone to flooding, especially during heavy rain. “Limited land space and unresolved ownership issues have restricted agricultural activities, preventing self-reliant food production and worsening nutrition and living conditions. “The proposed Kaup resettlement site offers safer and more sustainable living conditions. “Negotiations with Kaup landowners are ongoing to finalise the land acquisition process.”",Relocation,Trust,Nill,The National
Hydro project to hopefully ease ESP district’s power woes,https://www.thenational.com.pg/hydro-project-to-hopefully-ease-esp-districts-power-woes/,11/11/2025,"YANGORU-Saussia’s long-standing power problems might be nearing an end with the start of a pre-feasibility study into the proposed Sikau Hydro Project. Local member and Minister for International Trade and Investment Richard Maru presented a cheque of over K300,000 from the District Development Authority last Friday to the Snowy Mountains Engineering Construction (Smec) to start the study in December. The study is expected to take four months to complete. “The district has been plagued by power problems due to continuous power blackout in the Wewak grid and falling power poles which have not been attended to by PNG Power Ltd (PPL). “The longest (period of blackout) is at four months now which has affected the schools, hospitals, businesses and the villages,” he said. He said the proposed Sikau Hydro will be an independent mini grid and there are plans to sell the power as an independent power producer. The DDA plans to invite PNG Power to be one of the first foundation shareholders in this project along with the Yangoru-Saussia DDA and the landowners. This is part of the DDA’s commitment to this project by funding the pre-feasibility study before seeking assistance from other stakeholders on the cost of full feasibility study and the construction which would be over K50 million. Meanwhile work has started on a new standby power station at Haripmo in the Sepik Plains. The Yangoru-Saussia DDA bought two generators for the purpose. SMEC senior hydropower engineer Sujan Ghimire said the project is a small hydro capable of delivering between two to five megawatts. “Once viable, then the next stage is tendering and construction and based on experience should take up to two years to complete,” he said. PNG Power chief technical officer Tony Koiri said PPL stands ready to assist any district and province in their efforts to participate in the energy sector within the country.",Energy,Anticipation,Richard Maru,The National
ENB’s Pomio ends LLG elections,https://www.thenational.com.pg/enbs-pomio-ends-llg-elections/,11/11/2025,"THE local level government (LLG) elections in East New Britain’s Pomio concluded on Thursday, with the declaration of all seven LLG presidents. The final declarations were made for Sinivit and East Pomio LLGs where Boniface Gerep retained his seat as Sinivit LLG president while newcomer Rodney Simai unseated Steven Sinkie to become the new East Pomio LLG president. The declarations took place at Warangoi and Milim, respectively. The first LLG in the district to declare its result was West Pomio LLG, which saw Paul Pavol regaining his seat last Tuesday. This was followed by Central Pomio LLG where John Raloga also retained his position as president after being declared on Wednesday, Nov 5. On the same day, three more LLGs announced their results, including Inland Pomio LLG, which elected Philip Tova as its first president, and Mamusi Yana LLG, which saw Sylvester Konte becoming the inaugural president. These two new LLGs were created following the administrative split of the former Central Inland Pomio and West Pomio Mamusi LLGs. The final declaration came from Melkoi LLG where incumbent president Thomas Osa was unseated by newcomer Francis Aluka.",Politics,Trust,Nill,The National
Madang musician ‘Shydeez’ takes part in town clean-a-thon,https://www.thenational.com.pg/madang-musician-shydeez-takes-part-in-town-clean-a-thon/,11/11/2025,"THE Madang public and business houses gathered again on Saturday, Nov 8 to continue with the clean-a-thon programme, an annual initiative led by the Madang police prosecution section. Among those who joined was Madang’s music legend Vok Kiatig, popularly known asShydeez, along with his family. The group took part in the cleaning the town area from the 17A bus stop to Bates Oval. Kiatig appealed to the public, especially those living and working in Madang to take initiative and be more responsible for their rubbish by disposing them in the right places. He also thanked Eugene Wanai from the Madang police prosecution section for taking the lead in the clean-a-thon. He also encouraged more business houses and individuals to join in the effort. Senior Constable and acting OIC police prosecution, Eugene Wanai announced that the next clean-a-thon is set for Dec 20, 2025, in preparation for the Christmas Eve period. This period is expected to see an increase in many visitors to Madang. “Keeping the town clean will reflect positively on what visitors hear and see about Madang through mainstream media and social media platforms,” Wanai said. The clean-a-thon has become a monthly programme aimed at maintaining the township.",Community,Trust,Nill,The National
"Government using revenue to pay last year’s cheques, says O’Neill",https://www.thenational.com.pg/government-using-revenue-to-pay-last-years-cheques-says-oneill/,10/11/2025,"FINANCE and Treasury officials have warned of a serious budget blowout next year if the practice of using current year revenues to pay previous year’s bills is continued. Former Prime Minister Peter O’Neill echoed the public servants’ warning contained in the mid-year economic and fiscal outcome in a statement on Thursday. Said O’Neill: “According to a Finance Department written brief of Nov 3 (Monday last week), more than K1,209,000,000 of last year’s Finance Department cheques had been paid out of this year’s budget with over K160 million from last year still to be cashed by Finance. “Furthermore, the Finance brief points out that if all cheques were presented and paid, the Waigani Public Account would be overdrawn by K1.6 billion. “Marape is robbing this year’s budget to pay last year’s bills. “He is expecting public servants to undertake terrible administrative irregularities just so that he can continue to be cashed up to stay in power. “The brave public servants in Treasury have made it clear there is rampant manipulation going on with their red flag warning on page 52 of the outcome report: “Using this year’s revenue and financing (loans) to fund last year’s cheques could affect this year’s budget execution. “This vicious cycle could continue if large cheque floats are allowed into the next fiscal year. “The Marape government is writing out cheques without having the money to honour them and using the next year’s budget to pay last year’s bills. “We can assume their political masters will expect Treasury and Finance staff to cop the blame when things do not go to plan.” O’Neill further said democracy was decaying as fast as quality of life was slipping under Marape “Daily living costs have spiralled; wages have been stuck, and violent crime has increased considerably,” he said. “Power supply is going from bad to worse; our Kina is losing its value and medicines are simply not supplied. “GDP (gross domestic product) is growing due to the price of gold and commodities rising globally but investment in our country is shrinking due to a lack of confidence in the Marape government. “This is greatly impacting jobs growth.”",Business,Anger,Nill,The National
Bodies of landslide victims taken home for burial,https://www.thenational.com.pg/bodies-of-landslide-victims-taken-home-for-burial/,10/11/2025,"RELATIVES of the 21 persons killed in a freak landslide in Kukas, Minamb Valley, Wapanemanda, Enga, recently have taken the bodies of their loves one’s home for burial. An outpouring of emotion flowed as relatives wept when the coffins were taken out of the mortuary on Friday in Mt Hagen. Family members in Mt Hagen contributed cash to those who came from Enga. Two children, three women, including one who was pregnant, and 16 men were understood to be sleeping in two homes when the landslide struck around 2am on Friday, Oct 31. The 21 coffins were loaded into three trucks and departed. Enga’s deputy administrator Henry Kapao supervised the repatriation of the 21. Kapao thanked the Mt Hagen community for the support and sharing of grief. He said that the Enga provincial administration was taking care of the costs of putting the bodies in the funeral home and the repatriation. Disaster response agencies and the International Migration Office are responsible for relief assistance. Australian officials stated after the incident that they would help when and where required.",Disaster,Sadness,Nill,The National
Sir Puka explains reasons behind Opposition’s motion of no confidence,https://www.thenational.com.pg/sir-puka-explains-reasons-behind-oppositions-motion-of-no-confidence/,10/11/2025,"Abau MP Sir Puka Temu highlighted the deteriorating law and order situation in the country as one of the reasons behind the Opposition’s recent motion of no confidence. The motion filed on Oct 29 had named Ialibu-Pangia MP Peter O’Neill as the alternative prime minister. The motion was to be moved by Sir Puka and seconded by Chuave MP James Nomane. However, On Oct 30, the Private Business Committee rejected the motion because of Constitutional Amendment No 48 to Section 145 of the Constitution pertaining to motions of no confidence. Sir Puka said law and order collapsed under the leadership of Prime Minister James Marape. “Violent crime, tribal fighting, and armed robberies have become normal headlines. “Police are under-resourced and demoralised. Communities live in fear, and the government has lost control of maintaining basic safety for its citizens. “This is not leadership — it is neglect,” Sir Puka said. Sir Puka said the people wanted leadership that delivers results and ‘not endless talk.’ Sir Puka added; “Some question the timing of this motion, saying the elections are near. “But that is not a reason to sit idle while the country suffers. A lot of damage can still be done between now and 2027, and as we have seen in the last six years, it only gets worse. This motion had to be moved. Leadership means acting when it matters, not when it is convenient. “I understand that O’Neill is not without criticism, but I have personally witnessed a genuine change in his leadership since stepping down in 2019. He has reflected deeply on his past mistakes and shown a willingness to correct them. “That level of self-awareness is rare in politics and deserves recognition,” he said.",Politics,Fear,"James Marape, James Nomane, Puka Temu",The National
Food festival supports children’s ward at PMGH,https://www.thenational.com.pg/food-festival-supports-childrens-ward-at-pmgh/,10/11/2025,"A TWO-DAY food festival in Port Moresby recently will see a portion of the proceedings donated to the children’s paediatric and cancer ward at the Port Moresby General Hospital. Since its establishment in 2019, the Hamamas Food Festival 2025, an event aimed at giving back to the local community resumed on Saturday following the Coronavirus setback. The festival was held at the Dynasty Restaurant at Vision City Mega Mall and brought together 13 known restaurants in Port Moresby, showing support and celebration of flavour, culture, and community. Dynasty Seafood Restaurant manager Nelma Cruz said they decided to resume the event after receiving requests from people willing to support it. Cruz said 10 per cent from the sales will be given to the hospital’s children’s ward 1E. “We have a committee that chooses a non-organisation to donate the proceedings to, but due to the demand in health, we have decided to put forward the donations to a government sector.” She said the director of the restaurants Ricky Yu initially came up with the idea of giving back to the community by inviting Port Moresby restaurants where a portion of the sales would go as a donation. “The festival is not just about great food, it is basically about giving to those who need assistance, and that is the least we could do,” she said Cruz thanked sponsors South Pacific Brewery, RH Hypermarket, RMC Maintenance and Colour Boys, and said that a cheque will be presented to the ward after reconciliation is done. She said they would donate to a different organisation next year and hope to make this an annual event. The festival ended yesterday.",Community,Joy,Nill,The National
Lae’s power woes due to supply and old grid,https://www.thenational.com.pg/laes-power-woes-due-to-supply-and-old-grid/,10/11/2025,"LAE MP John Rosso says constant power outages in the city are due to power supply and an old grid. Rosso said that they are collaborating with State Enterprises (SOE) Ministry and the PNG Power Ltd (PPL) to fix the issue. “I also live in Lae and I am aware of the constant blackouts, but it is not an easy fix,” he said. “It is a mixture of power supply and an old grid in the city. “Therefore, we have transformers being blown up and lines collapsed. “But I can assure the people that after speaking with the PPL and the SOE Ministry, we will make sure to rectify the problem in the long run.” An old grid refers to the aging and unreliable electricity infrastructure managed by PPL. Rosso said that it would take a longer period to fix the power issue. “But I can assure everyone that we are working on it,” he said. “PPL has brought in 10 major gen-sets and are currently in the process of fitting them in at the Taraka substation. “They already got a 132kv transmission line that connect from Yonki all the way down to assist with the power problem in Lae.” The line is connected from Singsing to Lae through Erap and Taraka substations, constructing new towers and rehabilitating substations. It is believed to be a rehabilitation programme aimed to enhance reliability and improve the quality and stability and reduce power outages in Lae. Rosso assured people that the power issue would be fixed, but it would take a longer period to ensure the problem is fixed properly. Meanwhile,The Nationalhas observed that areas and settlements in Lae experience constant blackouts, where it affects daily operations. Many households go without power for three to four days or a week because a line has collapsed or transformers have blown.",Infrastructure,Anticipation,John Rosso,The National
"More time needed to fix power and water, says Duma",https://www.thenational.com.pg/more-time-needed-to-fix-power-and-water-says-duma/,10/11/2025,"GIVE government a “little more time” to turn the current situation around with PNG Power Ltd and Water PNG Ltd, says State-owned Enterprises Minister William Duma. Asked to provide an update on the issues and challenges within some of the SOEs (state-owned enterprises), Duma said these were legacy issues surrounding the country’s utility company, and that ongoing work, including a possible public privatisation arrangement of PPL is being done to address them. He explained that there were ongoing challenges in modernising the aging (more than 50 years old) infrastructures across the country. “We still have ongoing challenges in terms of changing the attitudes of our workforce. We’ve been able to recruit a gentleman from New Zealand to be our CEO (for PNG Power),” Duma said. “There is a turnaround plan that has been endorsed by cabinet. And while, we are also working on the arrangement to partially privatise PNG Power, we are not waiting for the progression projects to be completed as early yet. “In the meantime, there’s ongoing work across the country to upgrade all our infrastructures. “We’ve had some challenges with the substation such as the continued work at Konedobu substation (Port Moresby). There’s some technical issues, and ongoing restoration work in Lae, which is a very important industrial city. “There’s ongoing work in Lae to ramp up the provision of power. There’s remedial work being done from Singsing Creek all the way down to Lae. “The ternary lines are being replaced slowly, and we’ve also ordered new generators to be able to provide good assistance for Lae at this time. So a lot of money has been invested.” He added that for Lae, there were also plans to put up a solar plane delay so that when one system is down, solar could then provide immediate, temporary relief. “So all of those are ongoing,” he said. “We’ve spent a lot of money and hopefully by the end of or middle of next year, you’ll see results for Lae. “There will be a complete turnaround. We are carrying out rehabilitation work for our Ramu generation facilities out there. “We have logistics challenges in continuing to provide reliable diesel for our power savings as we work.” Furthermore, regarding the ongoing bulk water supply issue in the urban areas in the country, Duma said it was again aging facilities and population increase challenges that they need to deal with. He said in Port Moresby, the Mt Eriama water treatment facility was designed for population of less than a million, about 500,000. However, currently, due to population increase, Water PNG had to increase and improve the capacity in order to release water to a population of a million.",Business,Anticipation,William Duma,The National
PPL boss in Lae to understand challenges,https://www.thenational.com.pg/ppl-boss-in-lae-to-understand-challenges/,10/11/2025,"PNG Power Limited (PPL) chief executive officer Paul Bayly is in Lae to understand the challenges facing the company’s critical regional operations, especially the Ramu Power Grid. Bayly’s visit is also expected to include a meeting with staff and tour Lae substations. Bayly stressed that people are his first priority in turning the company around. He is also expected to meet with commercial and industrial stakeholders in Lae to discuss their power supply concerns, future expansion needs, and how PPL can better support the city’s economic growth. He said Lae industries are highly reliant on a stable power supply from the Ramu system. He said visits to regional centres like Lae are seen as a critical component of his strategy to stabilise and modernise PPL, moving away from a Port Moresby-centric management style and ensuring that resources and attention are directed to where the power is generated and distributed.",Business,Anticipation,Nill,The National
Police chief visits city wardens on training,https://www.thenational.com.pg/police-chief-visits-city-wardens-on-training/,10/11/2025,"NATIONAL Capital District (NCD) and Central Acting Assistant Commissioner of Police Benjamin Turi, has commended City Wardens for helping police to crack down on petty crime in the city. The City Wardens programme, which started last year, is an initiative of the National Capital District Commission, due to the rising safety concerns in the city. Turi met with the wardens who were undergoing a weeklong training at Kuriva, in Central on Friday. “You all need motivation,” Turi told the wardens. “Since your deployment last year, you all have been working hard to make Boroko clean. Gordons has reported fewer bag-snatching cases, and other centres where your presence is seen have also experienced changes. “We do have weaknesses, and most of our weaknesses have been aired out by the public on social media, which we have all noted. Your week-long training will help shape you into good officers when you return to your respective areas of operation, the commander told the wardens,” Turi said. Central police commander Chief Insp Joseph Salle, and reservist coordinator Chief Insp Ruben Guisu accompanied Turi.",Security,Trust,Nill,The National
Top cop hails Chimbu for peaceful LLG polling,https://www.thenational.com.pg/top-cop-hails-chimbu-for-peaceful-llg-polling/,10/11/2025,"THE local level government (LLG) elections in Chimbu were carried out peacefully despite minor issues encountered at some polling booths, according to police. Chimbu police commander Supt Mazuc Rubiang thanked the people of Chimbu, including candidates and their supporters, for ensuring a peaceful and orderly conduct of the election throughout the province. “Despite minor hiccups, the overall polling process was conducted smoothly and successfully in all the districts except for Karamui, where polling is still underway,” he said. Rubiang said police had faced logistical and funding challenges during the operation. But he assured the public that such difficulties did not deter their commitment to maintaining law and order. “As I reminded my officers during a recent briefing, funding constraints will not stop us from carrying out our duties, we remain committed to ensuring that our people exercise their democratic rights fairly and equally,” Rubiang said. He said the dedication of his officers showed that they serve not only as law enforcers but also as members of the same communities they protect. “We have taken an oath to serve our people and will continue to maintain our operations throughout the counting period and declaration of the LLG presidents,” Rubiang said. “I appeal to all the candidates and supporters to continue to maintain peace and patience as counting continues to ensure Chimbu remains the model for peaceful LLG elections in the country.”",Politics,Trust,Nill,The National
Two killed while in police custody,https://www.thenational.com.pg/two-killed-while-in-police-custody/,10/11/2025,"TWO men killed at Kinim Station, Karkar Island in Madang, on Friday were under police custody, Madang police say. Their commander Acting Superintendent Robert Baim said: “These killings were brutal, barbaric and inhumane and the incident is a serious breach of law and order.” He confirmed that the two deceased were from Gial village and the suspects were alleged to be from Urugen village. The killings were believed to be a retaliation. Of the two killed, one was beheaded after he was taken into police custody at Kinum Station early the day. “From the initial report, the deceased persons were already under police custody when the attack occurred and this in itself is a serious breach of law and order so we will ensure those responsible are brought to face justice,” Baim said. It was also understood that a police task force unit was sent to stabilise the situation from escalating further between Gial and Urugen villagers. “I am calling on community leaders from both sides to stay calm, cooperate with police as the case is now a police matter so let police deal with it,” Baim said. “Those with information should come forward and assist police to ensure investigations are fast-tracked to get the suspects under arrest and charges are laid.” Baim urged the suspects to surrender to police to make situation easier for them. “Do not let police come after you as the situation may not be good for you and your families.” Baim said the incident happened after youths consumed illicit substances such as marijuana and homebrew (steam). The incident happened in the morning and Madang Governor Ramsey Pariwa said that such an act is painting a bad image of the beautiful Karkar Island and the province. Pariwa said the deceased were in the lawful precinct and custody of police. “We must respect the law and the lawful processes in place and abide by it and not to take the law into our own hands,” he said “The ultimate act of beheading a deceased person as if he were an animal is so cruel in nature and I totally condemn it. I also call on the villages of both Gial and Urugen to observe peace and allow the law to take its course with the help of our police. “I appeal to my communities on the island to assist police to do their work in enforcing the law and maintaining peace and order.”",Crime,Anger,Ramsey Pariwa,The National
Australia GG new patron for Kokoda Track Foundation,https://www.thenational.com.pg/australia-gg-new-patron-for-kokoda-track-foundation/,10/11/2025,"Australian Governor-General Sam Mostyn is the new patron of the Kokoda Track Foundation (KTF). “I’m delighted to become patron of the Kokoda Track Foundation,” she said. “The friendship between Australia and PNG is one of deep history and shared purpose. “I look forward to sharing KTF’s stories about how they have been working hand in hand with communities across PNG to strengthen education, health, equality and leadership.” KTF chair Ian Kemish said: “KTF’s approach reflects perfectly the wonderful spirit of partnership between Australia and Papua New Guinea, because partnership is at the core of everything we do – with the people, communities and government of Papua New Guinea. “In welcoming the Governor-General as our patron, and with her deep commitment to supporting Australians and our neighbours alike, we look forward to expanding our impact, working alongside the people of PNG to drive meaningful change.” KTF chief executive officer Dr Genevieve Nelson welcomed the appointment. “We are delighted and incredibly grateful that Governor-General Mostyn is continuing her longstanding engagement with Papua New Guinea through this role,” she said. “Since her inspirational address at KTF’s Lt Col Ralph Honner Leadership Oration in 2016, Her Excellency has been a steadfast friend to both PNG and KTF.”",Partnership,Joy,Nill,The National
Basil Jnr concerned over adjournment of Tutumang,https://www.thenational.com.pg/basil-jnr-concerned-over-adjournment-of-tutumang/,10/11/2025,"BULOLO MP Sam Basil Junior has underline concerns raised by the public on the one-week adjournment of Morobe Tutumang’s special sitting to elect a new governor. He released a statement calling on the Assembly Clerk to seek proper advice from the Secretary for Provincial Affairs on such matters. “The delay will create more instability and portrays bad governance and set bad precedents especially when we are in LLG elections,” he said. Basil, leader of the United Labor Party is an intending nominee for the vacant governor position. Noting also the interest of Dr Kobby Bomareo and Rainbo Paita, both Ministers, Basil said it was healthy for ministers to take interest in the development aspirations at the provincial level and to contribute to the national agenda. He then pointed out that written instructions were given in early October by provincial administrator, the Clerk of the Morobe Tutumang and the deputy Governor. “We are very well aware of the requirements that a person holding a ministry or constitutional office must resign to be nominated as a candidate,” he said. “Considering that from the ten members of parliament, we have five MPs holding important constitutional responsibilities such as Deputy Prime Minister, Ministers, chairman of Citizenship Advisory Committee and Deputy Speaker positions, I indicated my intention. “I also made a public announcement and communicated my intentions to the Prime Minister in relation to my position as Vice Minister for Mining and Sports. “The Clerk and the provincial administration must be conscious of the advice provided that elections must be conducted well before Nov 21, 2025.”",Politics,Anticipation,"Kobby Bomareo, Rainbo Paita, Sam Basil",The National
